brand,battery,ram(GB),storage(GB),price(USD)
Samsung,4500,8,128,204.99
Honor,4000,6,128,160.0
Honor,4000,8,128,200.0
Honor,3020,3,64,150.0
Oppo,4000,8,128,156.8
OnePlus,4510,8,128,369.6
OnePlus,4300,8,128,740.0
OnePlus,4300,8,128,650.0
OnePlus,4300,6,128,876.0
Oppo,4025,12,256,240.0
Apple,1821,3,64,189.5
Honor,4000,8,256,650.0
Honor,4000,8,128,670.0
Honor,4000,8,128,1170.0
Honor,3400,6,64,180.0
Honor,3750,4,128,220.0
Oppo,4000,8,128,230.0
Oppo,5000,8,64,120.0
Oppo,4230,4,32,469.0
Oppo,4025,8,128,540.0
Oppo,5000,8,128,520.0
Realme,4200,8,128,260.0
Huawei,4000,8,128,120.0
Huawei,4000,8,128,390.0
Samsung,2600,1,16,238.19
Xiaomi,4160,8,64,270.0
Honor,4000,4,64,160.0
Honor,5000,3,64,150.0
Huawei,3400,4,128,480.0
Honor,3020,2,32,90.0
Xiaomi,5260,8,64,254.44
Xiaomi,5020,6,64,156.38
Xiaomi,5020,8,64,220.0
Oppo,5000,8,128,535.0
Huawei,3020,2,32,200.0
Huawei,5000,4,32,110.0
Huawei,4000,4,64,160.0
LG,4300,8,128,870.0
Realme,5000,4,32,100.0
Realme,5000,4,128,150.0
Xiaomi,4500,6,128,260.0
Xiaomi,4700,8,128,247.66
Huawei,4200,8,128,140.0
Samsung,4500,8,128,299.99
Samsung,5000,6,32,500.0
Huawei,4000,8,128,820.0
Huawei,4000,6,128,247.83
Honor,7250,8,64,280.0
Honor,4300,8,64,250.0
Samsung,4000,8,128,440.0
LG,4000,3,64,360.0
LG,4000,4,64,200.0
Huawei,4000,8,64,260.0
Xiaomi,4500,8,128,250.0
Realme,4200,6,128,350.0
Xiaomi,5020,6,128,130.0
Xiaomi,4520,8,64,200.0
Xiaomi,4520,8,128,290.0
Realme,4200,8,128,300.0
Realme,4300,6,64,200.0
Honor,3020,3,64,110.0
Samsung,4000,3,32,130.0
Honor,4200,8,128,360.0
Honor,4300,8,128,250.0
Oppo,4000,8,128,100.0
Oppo,4000,8,128,240.0
Huawei,4000,4,128,240.0
Xiaomi,5020,6,32,100.62
Huawei,4000,8,128,220.0
Oppo,4230,2,32,440.0
Realme,4300,4,128,190.0
