title,release_year,rating,popularity,genres,poster_url
Tarzan and the Slave Girl,1950,5.2,0.8474,"['Action', 'Adventure']",https://image.tmdb.org/t/p/w500/hcJaw4I8vFAlYnTZQyWCIANjkQn.jpg
The Blue Lamp,1950,6.618,1.1257,"['Crime', 'Thriller', 'Action']",https://image.tmdb.org/t/p/w500/t8ekJGjiFaPNIvANSgN46oVmbmw.jpg
My Blue Heaven,1950,7.0,0.8367,"['Drama', 'Music']",https://image.tmdb.org/t/p/w500/sJI3ENrXdYuqYG1YQ664FrSeBSr.jpg
My Friend Irma Goes West,1950,6.1,0.944,"['Comedy', 'Crime']",https://image.tmdb.org/t/p/w500/zALaC7mNC6Px6hmxvTxXjb8G99x.jpg
Duchess of Idaho,1950,5.0,0.8113,"['Romance', 'Comedy', 'Music']",https://image.tmdb.org/t/p/w500/9EzCauNIQEDbcc32fZPHO8yaCZ1.jpg
Colt .45,1950,6.175,0.973,"['Action', 'Western']",https://image.tmdb.org/t/p/w500/fOpZdojtGjyz0zbedKKZCb5elHw.jpg
The Kid from Texas,1950,5.3,0.9448,['Western'],https://image.tmdb.org/t/p/w500/9vNgf4qFj03RUnuAU3U8RoPCa0F.jpg
"Trigger, Jr.",1950,4.7,0.8698,['Western'],https://image.tmdb.org/t/p/w500/akaVCsBhjuhzwUQWA1DqKnpMysN.jpg
Blades of the Musketeers,1950,0.0,0.9319,"['Adventure', 'TV Movie']",https://image.tmdb.org/t/p/w500/vZXYjJ5gjrCvF8VB993VRssCKdt.jpg
Seven Days to Noon,1950,6.7,1.0599,['Thriller'],https://image.tmdb.org/t/p/w500/aDvEMfWqgCzMMBwKp1J2GashTga.jpg
The Iroquois Trail,1950,5.8,1.2241,['Western'],https://image.tmdb.org/t/p/w500/lJW57kTjmnmFnKm3d1Ut7WVkqyN.jpg
Unmasked,1950,5.2,0.8437,['Crime'],https://image.tmdb.org/t/p/w500/weGmEd6ZBOMFzJyJC6aCVqK3xtK.jpg
